"ISO_code","GID_code","Name","Type","ons_region_code"
"AF-BDS","AFG.1_1","Badakhshan","Province",NA
"AF-BDG","AFG.2_1","Badghis","Province",NA
"AF-BGL","AFG.3_1","Baghlan","Province",NA
"AF-BAL","AFG.4_1","Balkh","Province",NA
"AF-BAM","AFG.5_1","Bamyan","Province",NA
"AF-DAY","AFG.6_1","Daykundi","Province",NA
"AF-FRA","AFG.7_1","Farah","Province",NA
"AF-FYB","AFG.8_1","Faryab","Province",NA
"AF-GHA","AFG.9_1","Ghazni","Province",NA
"AF-GHO","AFG.10_1","Ghor","Province",NA
"AF-HEL","AFG.11_1","Helmand","Province",NA
"AF-HER","AFG.12_1","Herat","Province",NA
"AF-JOW","AFG.13_1","Jowzjan","Province",NA
"AF-KAB","AFG.14_1","Kabul","Province",NA
"AF-KAN","AFG.15_1","Kandahar","Province",NA
"AF-KAP","AFG.16_1","Kapisa","Province",NA
"AF-KHO","AFG.17_1","Khost","Province",NA
"AF-KNR","AFG.18_1","Kunar","Province",NA
"AF-KDZ","AFG.19_1","Kunduz","Province",NA
"AF-LAG","AFG.20_1","Laghman","Province",NA
"AF-LOG","AFG.21_1","Logar","Province",NA
"AF-NAN","AFG.22_1","Nangarhar","Province",NA
"AF-NIM","AFG.23_1","Nimroz","Province",NA
"AF-NUR","AFG.24_1","Nuristan","Province",NA
"AF-PKA","AFG.25_1","Paktika","Province",NA
"AF-PIA","AFG.26_1","Paktiya","Province",NA
"AF-PAN","AFG.27_1","Panjshayr","Province",NA
"AF-PAR","AFG.28_1","Parwan","Province",NA
"AF-SAM","AFG.29_1","Samangan","Province",NA
"AF-SAR","AFG.30_1","Sar-e Pul","Province",NA
"AF-TAK","AFG.31_1","Takhar","Province",NA
"AF-URU","AFG.32_1","Uruzgan","Province",NA
"AF-WAR","AFG.33_1","Wardak","Province",NA
"AF-ZAB","AFG.34_1","Zabul","Province",NA
"BE-BRU","BEL.1_1","Bruxelles-Capitale, Région de;Brussels Hoofdstedelijk Gewest","Region",NA
"BE-VLG","BEL.2_1","Vlaams Gewest","Region",NA
"BE-WAL","BEL.3_1","wallonne, Région","Region",NA
"BR-AC","BRA.1_1","Acre","State",NA
"BR-AL","BRA.2_1","Alagoas","State",NA
"BR-AP","BRA.3_1","Amapá","State",NA
"BR-AM","BRA.4_1","Amazonas","State",NA
"BR-BA","BRA.5_1","Bahia","State",NA
"BR-CE","BRA.6_1","Ceará","State",NA
"BR-DF","BRA.7_1","Distrito Federal","Federal District",NA
"BR-ES","BRA.8_1","Espírito Santo","State",NA
"BR-GO","BRA.9_1","Goiás","State",NA
"BR-MA","BRA.10_1","Maranhão","State",NA
"BR-MT","BRA.12_1","Mato Grosso","State",NA
"BR-MS","BRA.11_1","Mato Grosso do Sul","State",NA
"BR-MG","BRA.13_1","Minas Gerais","State",NA
"BR-PA","BRA.14_1","Pará","State",NA
"BR-PB","BRA.15_1","Paraíba","State",NA
"BR-PR","BRA.16_1","Paraná","State",NA
"BR-PE","BRA.17_1","Pernambuco","State",NA
